name,description,address,access,business_hours,holiday,phone_number,homepage,area
上徳寺,浄土宗の寺院。山号は、塩竈山。通称の世継地蔵で知られ、通称寺の会に属する。1603年（慶長8年）、徳川家康が阿茶局と娘の泰栄院との菩提を弔うために、伝誉一阿を開山に招請して建立したとされる。本尊は、家康が近江国矢橋の鞭碕神社から移設させたと伝えられる、伝快慶作の阿弥陀如来像である。,京都市下京区富小路通五条下ル本塩竈町556,京阪電車「清水五条」下車、徒歩約5分市バス「河原町五条」下車、徒歩約2分,-,-,075-351-4360,-,京都市下京区
本願寺（西本願寺）,各地に同名の寺院があるが、一般には本願寺系の浄土真宗（真宗）各派の本山である「本願寺」を指すことが多い。浄土真宗における寺号の由来は、13世紀に親鸞の廟堂に対して亀山天皇より下賜された「久遠実成阿弥陀本願寺」であるとされる。16世紀末期に東西に分裂し、東側は20世紀後期に発生したお東騒動の影響で更に分裂した。,京都市下京区堀川通花屋町下ル,ＪＲ「京都」駅から徒歩約15分（タクシー5分）市バス9・28・75「西本願寺前」下車京阪バス「西本願寺」下車,開門時間5：30～17：00,-,075-371-5181,http://www.hongwanji.kyoto,京都市下京区
大谷本廟,浄土真宗本願寺派の本山の本願寺が所有する墓地。浄土真宗の宗祖・親鸞の墓所。通称は、「西大谷」。「日野誕生院」・「角坊」とともに「宗教法人本願寺」が所有する飛地境内である。,京都市東山区五条橋東6丁目514,京阪電車「清水五条」下車、徒歩約15分市バス「五条坂」下車すぐ,-,-,075-531-4171,http://otani-hombyo.hongwanji.or.jp,京都市東山区
城南宮,引越・工事・家相の心配を除く「方除の大社」と仰がれている。家庭円満や厄除や安全祈願、また車のお祓いに全国から人が来る。また古くより、住まいを清める御砂や方角の災いを除く方除御札を城南宮で授かる習慣がある。そして曲水の宴が行われる神苑は、しだれ梅、椿、桜、藤、躑躅、青もみじ、秋の七草や紅葉に彩られ安らぎの庭になっている。,京都市伏見区中島鳥羽離宮町7,地下鉄・近鉄電車「竹田」駅下車、徒歩約15分市バス・京阪バス「城南宮東口」下車R'EXバス「油小路城南宮」下車（土日祝は城南宮下車すぐ）,境内自由神苑拝観は9：00～16：30（受付16：00）,無休,075-623-0846,https://www.jonangu.com/,京都市伏見区
称念寺,松平信吉の帰依を受けた嶽誉上人によって創建された寺院。通称猫寺。動物専用の観音堂がある。春秋の2回合同供養祭をする。愛犬・愛猫等の供養塔があり。,京都市上京区寺之内通浄福寺西入上ル西熊町275,市バス「乾隆校前」下車、徒歩約5分,-,-,075-441-4519,http://www.nekodera.net/,京都市上京区
正法寺＜西京区＞,鑑真和尚の高弟・智威大得が創建したものと伝えられるお寺。応仁の乱で一度消失したが、江戸初期に再興された。「鳥獣の石庭」が有名。鳥や動物に見立てた石組みを配した庭、うさぎやペンギンを模した石組もある。枝垂桜も有名で３月末ごろが見頃。年に１回の予定で寺宝が特別公開される。,京都市西京区大原野春日町1102,阪急電車「東向日」駅下車阪急バス「南春日町」下車、徒歩約7分,-,-,075-331-0105,-,京都市西京区
上品蓮台寺,真言宗智山派の寺院。寺伝によれば、聖徳太子が母の菩提寺として建立し、宇多法皇が中興したという。寺は応仁の乱で焼けたが、文禄年間（1592–1596年）、豊臣秀吉の援助のもと、紀州根来寺の性盛によって復興された。,京都市北区紫野十二坊町33-1,市バス「千本鞍馬口」または「千本北大路」下車、徒歩約5分,-,なし,-,-,京都市北区
東丸神社,伏見稲荷大社の境内社のように見えるが、隣接する独立した神社。江戸時代の学者荷田春満を学問の神様として奉る。学問向上、受験合格の神として広く崇拝されている,京都市伏見区深草藪之内町36,JR奈良線「稲荷」駅下車、徒歩約1分京阪電車「伏見稲荷」駅下車、徒歩約5分,-,-,075-641-4693,https://twitter.com/azumamaro07,京都市伏見区
愛宕神社,全国に約９００社を数える愛宕神社の本社として、京都市最高峰の霊山である愛宕山上に鎮座している。古くより火伏・防火に霊験のある神社として知られ、現在は「愛宕さん」とも呼ばれる。例年7月31日夜から8月１日未明にかけての「千日詣」は有名。,京都市右京区嵯峨愛宕町,京都バス「清滝」下車、徒歩約90分～120分,-,-,075-861-0658,http://atagojinjya.jp/,京都市右京区
あだし野念仏寺,浄土宗の寺院。伝承によれば弘仁2年（811年）、空海が当地に野ざらしになっていた遺骸を埋葬して供養のために千体の石仏を埋め、五智如来の石仏を建てて五智山如来寺を建立したのに始まるとされる。その後、法然が念仏道場を開き、名称も念仏寺となったという。境内8000体の石仏・石塔群は、化野に葬られた人たちの墓で、毎年8月最終土曜日・日曜日に灯明をあげ、幽玄な千灯供養を行う。,京都市右京区嵯峨鳥居本化野町17,京都バス「鳥居本」下車、徒歩約5分,開門時間～受付終了時間3月～11月9：00～16：3012月～2月9：00～15：30,年中無休臨時宗教式典、気象状況により休観となります。（台風・積雪・凍結など）,075-861-2221,http://www.nenbutsuji.jp/,京都市右京区
蓮臺山捴見院阿弥陀寺,天文24年（1555年）、玉誉清玉が近江国坂本に創建したのがこの寺の始まりとされ、その後清玉が織田信長の帰依を得、上京今出川大宮に移転。天正10年（1582年）、信長が本能寺で討たれると、清玉上人が自ら現地に赴いて信長の遺灰を持ち帰って、墓を築いたとされる。後に信忠の遺骨も、二条御新造より拾い集めて、その横に墓をなした。さらに本能寺の変の名の分からぬ犠牲者大勢も、阿弥陀寺に葬って供養したという。六月二日のみ「信長忌」勤修の為堂内拝観可。併せて各種寺宝公開。,京都市上京区寺町今出川上ル鶴山町14,京阪電車「出町柳」駅、徒歩約10分地下鉄烏丸線「今出川」駅下車、徒歩約10分市バス「河原町今出川」下車、徒歩約8分,-,-,075-231-3538,-,京都市上京区
阿弥陀寺＜左京区＞,古知谷にある浄土宗の寺院。1609年（慶長14年）3月、弾誓（たんぜい）上人が開山した念仏道場である。阿弥陀如来坐像は重文。宝物殿に上人の遺品、皇室関係の品を陳列。紅葉の名所でもある。,京都市左京区大原古知平町83,京都バス「古知谷」下車、徒歩約15分,9：00～16：00,1月、2月は休み（正月三ヶ日は天候により開くことがある）,075-744-2048,-,京都市左京区
