name,description,address,access,business_hours,holiday,phone_number,homepage,area
上徳寺,浄土宗の寺院で、山号は塩竈山。慶長8年（1603）、徳川家康が側室の阿茶局ゆかりの泰栄院の菩提を弔うため、伝誉一阿上人を開山に招いて創建した。境内の地蔵堂に祀る石造地蔵菩薩は「世継地蔵」と呼ばれ、よき世継ぎ（子授け・子孫繁栄）を願う信仰を集める。毎年2月8日の大祭でにぎわう、通称寺の会に属する庶民信仰の寺である。,京都市下京区富小路通五条下ル本塩竈町556,京阪電車「清水五条」下車、徒歩約5分市バス「河原町五条」下車、徒歩約2分,-,-,075-351-4360,-,京都市下京区
本願寺（西本願寺）,浄土真宗本願寺派の本山で、正式名称は龍谷山本願寺。市民からは「お西さん」と親しまれる。文永7年（1272）、親鸞の娘・覚信尼らが東山に営んだ廟堂を起源とし、天正19年（1591）に豊臣秀吉の寄進で現在地へ移った。御影堂・阿弥陀堂をはじめ、唐門・書院・飛雲閣など桃山文化の粋を伝える国宝・重文が建ち並び、世界遺産に登録されている。,京都市下京区堀川通花屋町下ル,ＪＲ「京都」駅から徒歩約15分（タクシー5分）市バス9・28・75「西本願寺前」下車京阪バス「西本願寺」下車,開門時間5：30～17：00,-,075-371-5181,http://www.hongwanji.kyoto,京都市下京区
大谷本廟,浄土真宗本願寺派（西本願寺）が営む親鸞聖人の墓所で、「西大谷」の通称で知られる。文永9年（1272）、東山大谷の地に親鸞の遺骨を納めて建てられた廟堂を起こりとし、のち現在地へ移された。全国の門信徒の納骨・墓参の地として知られ、参道入口には眼鏡橋とも呼ばれる円通橋が架かる。お盆には多くの参拝者でにぎわう。,京都市東山区五条橋東6丁目514,京阪電車「清水五条」下車、徒歩約15分市バス「五条坂」下車すぐ,-,-,075-531-4171,http://otani-hombyo.hongwanji.or.jp,京都市東山区
城南宮,引っ越しや工事、家相などの心配を取り除く「方除（ほうよけ）の大社」として広く信仰される神社。家庭円満や厄除け、交通安全を願い、車のお祓いに全国から参拝者が訪れる。住まいを清める御砂や、方角の災いを除く方除札を授かる習わしも古くから伝わる。曲水の宴で知られる神苑は、しだれ梅や椿、桜、藤、紅葉など四季の花に彩られる。,京都市伏見区中島鳥羽離宮町7,地下鉄・近鉄電車「竹田」駅下車、徒歩約15分市バス・京阪バス「城南宮東口」下車R'EXバス「油小路城南宮」下車（土日祝は城南宮下車すぐ）,境内自由神苑拝観は9：00～16：30（受付16：00）,無休,075-623-0846,https://www.jonangu.com/,京都市伏見区
称念寺,浄土宗の寺院で、「猫寺」の通称で知られる。江戸初期、松平信吉の帰依を受けた嶽誉上人によって開かれた。三代目の住職を慕った愛猫が踊りを舞って恩に報いたという伝説に由来し、猫寺と呼ばれるようになった。境内には動物専用の観音堂や、愛犬・愛猫の供養塔があり、春秋の二度、合同供養祭が営まれる。山門前の枝垂桜も美しい。,京都市上京区寺之内通浄福寺西入上ル西熊町275,市バス「乾隆校前」下車、徒歩約5分,-,-,075-441-4519,http://www.nekodera.net/,京都市上京区
正法寺＜西京区＞,鑑真和尚の高弟・智威大得が創建したものと伝えられるお寺。応仁の乱で一度消失したが、江戸初期に再興された。「鳥獣の石庭」が有名。鳥や動物に見立てた石組みを配した庭、うさぎやペンギンを模した石組もある。枝垂桜も有名で３月末ごろが見頃。年に１回の予定で寺宝が特別公開される。,京都市西京区大原野春日町1102,阪急電車「東向日」駅下車阪急バス「南春日町」下車、徒歩約7分,-,-,075-331-0105,-,京都市西京区
上品蓮台寺,真言宗智山派の寺院で、山号は蓮華金宝山。寺伝では聖徳太子が母の菩提のために建立し、平安中期に宇多法皇が中興したと伝わる。かつては境内に十二の坊舎が並び「十二坊」と通称され、地名にもその名を残す。応仁の乱で焼失したが、文禄年間に紀州根来寺の性盛が豊臣秀吉の援助を得て復興した。境内の枝垂桜は花の名所として知られる。,京都市北区紫野十二坊町33-1,市バス「千本鞍馬口」または「千本北大路」下車、徒歩約5分,-,なし,-,-,京都市北区
東丸神社,伏見稲荷大社に隣接し、その境内社のように見えるが、実際には独立した神社である。江戸時代の国学者・荷田春満（かだのあずままろ）を学問の神として祀る。荷田春満は伏見稲荷の社家に生まれ、古典や国史の研究で名を残した人物。今日では学問向上や受験合格を願う参拝者の崇敬を集めている。,京都市伏見区深草藪之内町36,JR奈良線「稲荷」駅下車、徒歩約1分京阪電車「伏見稲荷」駅下車、徒歩約5分,-,-,075-641-4693,https://twitter.com/azumamaro07,京都市伏見区
愛宕神社,全国に約900社を数える愛宕神社の総本社で、京都市最高峰の愛宕山の山頂に鎮座する。古くから火伏せ・防火の神として信仰を集め、「火迺要慎」の御札は台所に貼られる。和気清麻呂や修験道の祖・役行者ゆかりの霊山とされる。7月31日の夜から8月1日にかけての「千日詣」は、一度の参拝で千日分の御利益があるとされ、多くの参拝者でにぎわう。,京都市右京区嵯峨愛宕町,京都バス「清滝」下車、徒歩約90分～120分,-,-,075-861-0658,http://atagojinjya.jp/,京都市右京区
あだし野念仏寺,浄土宗の寺院で、「化野念仏寺」として知られる。化野は古来、風葬・埋葬の地で、弘仁2年（811）、空海がこの地に葬られた人々を弔って寺を開いたのが起こりと伝わる。のち法然が念仏道場とした。境内には、無縁仏となった約八千体の石仏・石塔がずらりと並び、毎年8月の地蔵盆には灯をともす「千灯供養」が営まれることで名高い。,京都市右京区嵯峨鳥居本化野町17,京都バス「鳥居本」下車、徒歩約5分,開門時間～受付終了時間3月～11月9：00～16：3012月～2月9：00～15：30,年中無休臨時宗教式典、気象状況により休観となります。（台風・積雪・凍結など）,075-861-2221,http://www.nenbutsuji.jp/,京都市右京区
